cityname,countyname,name,pop2000,popdes,labdens,averageemployment,empdensavgemparea,medhhinc99,auto_ms,origlinks,orignodes,simplinks,simpnodes,javalinks,javanodes,cycno_u,alpha,beta,gamma,eta,branchness,circuitness,completeness,completeness*103,netwdist,eucldist,cnt_od_pairs,circuity,ent_h,ent_len,ptagefwy,nonlocal_meters,local_meters,totfwy_meters,totrdwy_meters,area_km2,stdens_km2,a10_a19,a20_a29,a30_a39,a40_a49,a50_a59,a60_a69,a70_a75,a_other,l10_a19,l20_l29,l30_l39,l40_l49,l50_l59,l60_l69,l70_l75,l_other,dvmt,centline_mi,avg_veh_mi_pday,dvktpercap,aggtt,no_wrks,avg_tt,spd_ph3_mp,spd_ph3_md,spd_ph3_ap,xcoord,ycoord,cblk_p,cblk_a,avgcblka,p2a,accessibility_mp_pop,accessibility_mp_labor,accessibility_mp_emp,pop_l1n1_p20,pop_l1n1_p30,lab_l1n1_l20,lab_l1n1_l30,emp_l1n1_j20,emp_l1n1_j30,pwa_l1n1_p20,pwa_l1n1_p30,pwa_l1n1_l20,pwa_l1n1_l30,pwa_l1n1_j20,pwa_l1n1_j30,_merge,dtwnmplstaz,mplsxcoord,mplsycoord,dtwnsplstaz,splxcoord,splycoord,dtwnmplsdist,dtwnspldist,dtwnmplsdist_km,dtwnspldist_km,theta (dvkt/simpnodes)
Blakeley Township,Scott,Blakeley Township,496,7,2.972603,79,1.087413,59583,0.83,118,104,83,69,166,69,15,0.112782,1.202899,0.4129353,1.071265,0.1918219,0.8081781,0.01769,=X15*1000,81702919,56260115,12500,1.45,0.86,0.96,0,18819.05,70095.98,0,88915,73,1,0,9,6,68,0,0,0,0,0,9091,9728,70096,0,0,0,0,0,0,109570,356,5845,217,26.93548,28.94602,28.94602,28.94602,433470.8,4936820,304.342,70.88322,1.143278,4.29357,5517.475,2413.895,878.7914,6892912,57067280,1777132,15656372,322000,2019500,13897,115055,7036,61983,4600,28850,3,402,478480,4980091,816,492625,4977029,62435.59,71526.06,62.43559,71.52606,=(BF15*D15)/N15
Bloomington City,Hennepin,Bloomington City,85172,857,461.9192,103685,1043.745,54628,0.87,4287,3177,3852,2742,7704,2742,1111,0.2027742,1.404814,0.4686131,0.1837195,0.1260429,0.8739571,0.000513,=X16*1000,80224913,62737227,12450,1.28,0.28,0.4,3.89,27515.65,680172,27516,707688,99,7,76,0,0,3704,0,67,5,0,27516,0,0,664838,0,13478,1856,0,3793210,419,3191342,60,923660,45730,20.19812,26.10911,26.10911,26.10911,475081.4,4964179,1528.465,99.33942,0.0792813,15.38629,727075,390376.4,885112.2,93320000000,189700000000,30730000000,58080000000,111500000000,176000000000,1067909,2170712,632356,1194990,1008158,1589080,3,402,478480,4980091,816,492625,4977029,16271.4,21746.59,16.27139,21.74659,=(BF16*D16)/N16
Brooklyn Center City,Hennepin,Brooklyn Center City,29172,1345,648.6364,16587,764.4972,44570,0.83,1467,1020,1305,858,2610,858,448,0.2618352,1.520979,0.5081776,0.1684254,0.0711027,0.9288973,0.001775,=X17*1000,39056298,29584788,12500,1.32,0.67,0.73,5.91,15158.13,204637,12996,219795,22,10,53,0,10,1152,0,90,0,0,12996,0,2163,190815,0,13822,0,0,1291464,125,1285300,71,324475,14270,22.73826,26.88479,26.88479,26.88479,475117.4,4990562,462.3492,21.69661,0.0436552,21.30974,1134306,554865.6,644958.4,37720000000,69080000000,10770000000,19050000000,15670000000,26600000000,1218815,2232318,690142,1220381,919950,1564341,3,402,478480,4980091,816,492625,4977029,10997.2,22127.91,10.9972,22.12791,=(BF17*D17)/N17
Brooklyn Park City,Hennepin,Brooklyn Park City,67388,981,524.913,23559,342.9158,56572,0.85,2757,2151,2351,1745,4702,1745,607,0.174175,1.347278,0.449608,0.1958085,0.1279031,0.8720969,0.000773,=X18*1000,71565463,52962719,12500,1.35,0.18,0.36,1.7,19508.64,440837.1,7806,460346,69,7,21,8,9,2305,0,8,0,0,7806,6390,5312,438677,0,2160,0,0,1629593,254,1583093,38,864360,36219,23.86482,26.10463,26.10463,26.10463,472426.6,4995365,956.0455,68.702,0.0841936,13.91583,744679.6,400242.6,260341.7,62750000000,131300000000,20680000000,40280000000,17130000000,32800000000,964017,2017238,571059,1112542,736788,1409085,3,402,478480,4980091,816,492625,4977029,16429.34,27279.39,16.42934,27.27939,=(BF18*D18)/N18
Burns Township,Anoka,Burns Township,3557,39,19.52747,321,3.523328,63819,0.85,379,337,280,238,560,238,43,0.0912951,1.176471,0.3954802,0.5559053,0.2463206,0.7536794,0.004964,=X19*1000,78573471,58137072,11864,1.35,0.64,0.57,0,7525.76,148127.7,0,155653,91,2,0,0,10,246,0,0,24,0,0,0,7526,140156,0,0,7971,0,0,0,88053,40,57040,1777,32.09904,27.99842,27.99842,27.99842,464781,5021050,403.232,91.10704,0.8595004,4.425914,34083.25,17027.25,3075.829,299400000,913300000,93572083,367900000,6604152,26100000,84481,257710,49063,192895,19597,77453,3,402,478480,4980091,816,492625,4977029,43188.68,52087.38,43.18868,52.08738,=(BF19*D19)/N19
Burnsville City,Dakota,Burnsville City,60220,862,484.7429,32063,458.9404,57965,0.87,2738,2199,2518,1979,5036,1979,540,0.1366051,1.27236,0.424549,0.1809707,0.2207203,0.7792797,0.000643,=X20*1000,66671669,51161269,12500,1.3,0.55,0.68,3.63,26323.82,429360.3,16552,455684,70,7,44,0,32,2318,0,47,77,0,16552,0,9772,408379,0,12005,8976,0,1541442,264,1538892,41,759420,33932,22.38064,26.05156,26.05156,26.05156,477894.9,4956862,909.7203,69.8631,0.1100206,13.02147,700725.4,394835.8,373088,46630000000,114800000000,17890000000,37940000000,18470000000,44200000000,774347,1906916,507814,1077018,581400,1392227,3,402,478480,4980091,816,492625,4977029,23236.37,24973.66,23.23637,24.97366,=(BF20*D20)/N20
Camden Township,Carver,Camden Township,955,11,5.3,31,0.3455431,60563,0.83,382,367,275,260,550,260,16,0.031068,1.057692,0.3552971,0.5625877,0.3747434,0.6252567,0.004084,=X21*1000,102988917,63036684,12350,1.63,1.09,1.02,0,8082.25,146629.4,0,154712,90,2,0,0,7,171,0,0,97,0,0,0,8082,113809,0,0,32821,0,0,0,26551,45,13675,477,28.66876,27.9097,27.9097,27.9097,424928.6,4966335,371.1302,89.69728,0.9343467,4.137586,6318.989,3156.186,205.119,58254380,215000000,17038583,66087500,1677730,4893773,31540,116432,16700,64776,12070,35207,3,402,478480,4980091,816,492625,4977029,55290.13,68535.98,55.29013,68.53598,=(BF21*D21)/N21
Carver City,Carver,Carver City,1266,124,69.8,176,17.25692,65083,0.88,152,134,124,106,248,106,19,0.0917874,1.169811,0.3974359,0.2431433,0.6431491,0.3568509,0.011141,=X22*1000,31636817,20553202,12500,1.54,0.52,0.74,0,3295.81,26853.96,0,30150,10,3,0,5,0,113,0,0,6,0,0,3296,0,25568,0,0,1286,0,25230,11,29825,38,19545,698,28.00143,25.44406,25.44406,25.44406,450352.2,4956401,85.60853,10.19881,0.2317911,8.393973,68995.08,38039.94,9591.732,260700000,723700000,96632878,307300000,15293520,62000000,205911,571604,135000,429376,86895,352483,3,402,478480,4980091,816,492625,4977029,36774.86,47037.27,36.77486,47.03727,=(BF22*D22)/N22
Castle Rock Township,Dakota,Castle Rock Township,1495,16,8.408602,990,10.68116,59479,0.84,360,322,299,261,598,261,39,0.0754352,1.145594,0.3848134,0.4855933,0.2451651,0.7548349,0.004406,=X23*1000,88636874,65149461,12350,1.36,1.17,0.83,0,9494.76,135697.6,0,145192,93,2,0,0,16,196,0,1,86,0,0,0,9495,120173,0,94,15431,0,0,0,37573,40,19570,782,25.02558,30.20586,30.20586,30.20586,492392.4,4937052,347.4832,92.68658,0.8998697,3.749012,16172.87,8459.655,10709.79,97334965,388600000,29597883,140300000,7463080,29100000,65107,259963,34755,164774,21695,84574,3,402,478480,4980091,816,492625,4977029,45232.22,39978.18,45.23222,39.97818,=(BF23*D23)/N23
Cedar Lake Township,Scott,Cedar Lake Township,2197,23,12.10638,80,0.8526506,75926,0.86,232,204,149,121,298,121,29,0.1223629,1.231405,0.417367,0.9330833,0.2664583,0.7335417,0.010262,=X24*1000,89503145,63969613,12500,1.4,0.64,0.55,0,17727.05,121302.4,0,139029,94,1,0,0,24,125,0,0,0,0,0,0,17727,121302,0,0,0,0,0,0,92051,67,34070,1138,29.93849,29.15828,29.15828,29.15828,463414.1,4937192,378.6483,93.82507,0.9672688,4.035684,20686.8,10715.33,753.2747,170900000,957200000,50619820,346300000,2776410,15200000,77780,435694,41396,283186,30510,167002,3,402,478480,4980091,816,492625,4977029,45468.11,49399.43,45.46811,49.39943,=(BF24*D24)/N24
