cityname,countyname,name,pop2000,popdes,labdens,averageemployment,empdensavgemparea,medhhinc99,auto_ms,origlinks,orignodes,simplinks,simpnodes,javalinks,javanodes,cycno_u,alpha,beta,gamma,eta,branchness,circuitness,completeness,completeness*103,netwdist,eucldist,cnt_od_pairs,circuity,ent_h,ent_len,ptagefwy,nonlocal_meters,local_meters,totfwy_meters,totrdwy_meters,area_km2,stdens_km2,a10_a19,a20_a29,a30_a39,a40_a49,a50_a59,a60_a69,a70_a75,a_other,l10_a19,l20_l29,l30_l39,l40_l49,l50_l59,l60_l69,l70_l75,l_other,dvmt,centline_mi,avg_veh_mi_pday,dvktpercap,aggtt,no_wrks,avg_tt,spd_ph3_mp,spd_ph3_md,spd_ph3_ap,xcoord,ycoord,cblk_p,cblk_a,avgcblka,p2a,accessibility_mp_pop,accessibility_mp_labor,accessibility_mp_emp,pop_l1n1_p20,pop_l1n1_p30,lab_l1n1_l20,lab_l1n1_l30,emp_l1n1_j20,emp_l1n1_j30,pwa_l1n1_p20,pwa_l1n1_p30,pwa_l1n1_l20,pwa_l1n1_l30,pwa_l1n1_j20,pwa_l1n1_j30,_merge,dtwnmplstaz,mplsxcoord,mplsycoord,dtwnsplstaz,splxcoord,splycoord,dtwnmplsdist,dtwnspldist,dtwnmplsdist_km,dtwnspldist_km,theta (dvkt/simpnodes)
Grey Cloud Island Township,Washington,Grey Cloud Island Township,307,31,15.7,0,0,55714,0.82,28,28,19,19,38,19,1,0.030303,1,0.372549,0.6870254,0.9152364,0.0847636,0.055556,=X62*1000,23298018,16691437,9482,1.4,0,0,0,0,13053.48,0,13053,10,1,0,0,0,19,0,0,0,0,0,0,0,13053,0,0,0,0,0,0,5092,27,3770,157,24.01274,26.86259,26.86259,26.86259,500149.8,4961755,99.40486,9.797038,0.3498942,10.14642,23608.94,12073.63,0,,,,,,,,,,,,,1,402,478480,4980091,816,492625,4977029,28386.41,17026.96,28.38641,17.02696,=(BF62*D62)/N62
Ham Lake City,Anoka,Ham Lake City,12710,137,73.44086,3100,33.4046,67750,0.89,1162,1012,933,783,1866,783,151,0.0967329,1.191571,0.3982074,0.285971,0.2983268,0.7016732,0.001524,=X63*1000,84241520,58303988,12500,1.44,0.24,0.25,0,9675.74,257135.2,0,266811,93,3,0,29,0,900,0,1,3,0,0,9676,0,256511,0,256,368,0,393739,135,380807,48,205175,6830,30.04026,26.66187,26.66187,26.66187,484001.6,5011247,615.5128,92.8016,0.3488782,6.632567,94864.36,50977.46,23137.65,3294000000,9534000000,1285000000,4058000000,287900000,1170000000,259200,750122,180520,569807,90148,364885,3,402,478480,4980091,816,492625,4977029,31641,35287.4,31.641,35.2874,=(BF63*D63)/N63
Hamburg City,Carver,Hamburg City,538,1140,,109,230.9967,47578,0.87,58,50,38,30,76,30,9,0.1636364,1.266667,0.452381,0.1390882,0.4235262,0.5764738,0.043678,=X64*1000,7757805,5519924,12500,1.41,0.18,0.13,0,0,5285.35,0,5285,0,11,0,0,0,37,0,0,1,0,0,0,0,5192,0,0,93,0,2078,3,2219,7,7010,275,25.49091,27.35889,27.35889,27.35889,423618.1,4953711,20.86046,0.4718682,0.0181488,44.20823,878890.1,449246.8,178065.1,,,,,,,,,,,,,1,402,478480,4980091,816,492625,4977029,60874.76,72840.14,60.87476,72.84014,=(BF64*D64)/N64
Hampton City,Dakota,Hampton City,434,133,76,171,52.56466,53438,0.87,71,58,56,43,112,43,14,0.1728395,1.302326,0.4552846,0.2429998,0.278416,0.721584,0.031008,=X65*1000,12316527,9030875,11724,1.36,1.12,1.02,0,1670.79,11937.2,0,13608,3,4,0,5,1,45,1,2,2,0,0,1631,40,10941,177,576,243,0,36496,7,36411,135,5640,228,24.73684,32.4286,32.4286,32.4286,499810.1,4939472,34.86938,3.253136,0.1204865,10.71869,153431.5,80604.58,60453.43,,,,,,,,,,,,,1,402,478480,4980091,816,492625,4977029,45878.93,38238.12,45.87893,38.23812,=(BF65*D65)/N65
Hampton Township,Dakota,Hampton Township,986,11,4.820225,173,1.939652,62292,0.88,249,225,183,159,366,159,25,0.0798722,1.150943,0.388535,0.6681179,0.3952238,0.6047761,0.007284,=X66*1000,97149345,62898969,12202,1.54,1.46,1.07,0,15889.54,106376,0,122266,89,1,0,10,10,123,0,6,34,0,0,9340,6549,97659,0,610,8107,0,0,0,170180,278,11575,429,26.98135,30.77915,30.77915,30.77915,502081.7,4936947,316.3677,89.19125,0.9910139,3.547071,8930.234,3885.467,1566.867,186700000,863300000,51473149,251300000,20216809,103000000,78061,360905,41700,203609,31247,159287,3,402,478480,4980091,816,492625,4977029,49177.7,41182.48,49.1777,41.18248,=(BF66*D66)/N66
Hancock Township,Carver,Hancock Township,367,8,3.26087,9,0.195253,58750,0.74,164,149,119,104,238,104,16,0.0788177,1.144231,0.3888889,0.6646035,0.1747989,0.8252012,0.011109,=X67*1000,72225046,54328030,12500,1.33,0.88,0.61,0,0,79087.82,0,79088,46,2,0,0,0,83,0,0,36,0,0,0,0,67350,0,0,11738,0,0,0,10340,45,3730,150,24.86667,29.05486,29.05486,29.05486,434358.3,4949429,191.7569,46.06748,1.023722,4.162522,7736.043,3161.87,189.7122,2219983,32098554,681245,10180076,25025,1173550,6049,87462,3346,50003,715,33530,3,402,478480,4980091,816,492625,4977029,53729.99,64473.21,53.72999,64.47321,=(BF67*D67)/N67
Hanover City,Hennepin,Hanover City,332,60,32.16667,86,15.53184,80502,0.87,29,28,26,25,52,25,2,0.0444444,1.04,0.3768116,0.4062619,0.7640301,0.2359699,0.043333,=X68*1000,18183010,14458769,10474,1.26,0,0,0,0,10562.81,0,10563,6,2,0,0,0,26,0,0,0,0,0,0,0,10563,0,0,0,0,14300,6,14286,69,5680,193,29.43005,27.96009,27.96009,27.96009,449078.1,5000350,36.85355,5.537012,0.5033647,6.655855,60291.82,35049.16,15617.76,,,,,,,,,,,,,1,402,478480,4980091,816,492625,4977029,35705.76,49398.43,35.70576,49.39843,=(BF68*D68)/N68
Hassan Township,Hennepin,Hassan Township,2463,45,21.4,707,12.83008,79158,0.86,294,280,212,198,424,198,15,0.0383632,1.070707,0.3605442,0.5190116,0.4557906,0.5442094,0.005435,=X69*1000,109552749,53973301,11616,2.03,0.08,0.13,1.85,2033.6,107996.8,2034,110030,55,2,2,0,0,210,0,0,0,0,2034,0,0,107997,0,0,0,0,0,0,203336,133,34165,1177,29.02719,27.77399,27.77399,27.77399,454133.9,5003612,332.6986,55.10486,0.4271695,6.037554,17023.55,8135.088,4886.582,1155000000,5257000000,370000000,1664000000,370500000,1940000000,215848,982751,125125,562730,133173,698951,3,402,478480,4980091,816,492625,4977029,33851.85,46778.16,33.85185,46.77816,=(BF69*D69)/N69
Hastings City,Dakota,Hastings City,18201,607,314.1667,9043,301.5612,53172,0.88,1155,839,1041,725,2082,725,317,0.2193772,1.435862,0.4799447,0.1613389,0.1931634,0.8068366,0.001983,=X70*1000,39627875,29683686,12500,1.34,0.32,0.37,0,8825.16,159128.6,0,167954,30,6,0,31,15,993,0,1,1,0,0,5401,3424,158737,0,97,295,0,278589,98,245431,22,207030,9425,21.96605,26.52113,26.52113,26.52113,511477.5,4953454,434.7043,29.98728,0.0753449,14.49629,487263.7,252319.1,242092.5,1875000000,10050000000,564500000,3001000000,322700000,2780000000,108530,581854,61350,326175,36378,313354,3,402,478480,4980091,816,492625,4977029,42407.47,30186.46,42.40747,30.18646,=(BF70*D70)/N70
Helena Township,Scott,Helena Township,1440,16,7.977528,448,5.018988,64250,0.85,241,212,147,118,294,118,30,0.1298701,1.245763,0.4224138,0.9227523,0.1911284,0.8088716,0.010648,=X71*1000,89036263,65277277,12350,1.36,0.36,0.36,0,9419.45,126225.1,0,135645,89,2,0,0,10,137,0,0,0,0,0,0,9419,126225,0,0,0,0,0,0,57505,64,18415,710,25.93662,29.89068,29.89068,29.89068,453654.1,4937446,408.9377,89.24416,0.8040014,4.582235,15759.78,7770.448,4903.043,89101688,390100000,24424050,129900000,6797010,46300000,59086,258657,31408,167017,14370,97900,3,402,478480,4980091,816,492625,4977029,49345.34,55548.02,49.34534,55.54802,=(BF71*D71)/N71
Hilltop City,Anoka,Hilltop City,766,2322,,252,764.0411,26528,0.66,69,58,47,36,94,36,12,0.1791045,1.305556,0.4607843,0.1219932,0.295657,0.704343,0.037302,=X72*1000,7607605,4353701,12500,1.75,0.34,0.75,0,1233.68,4500.01,0,5734,0,17,0,3,0,44,0,0,0,0,0,1234,0,4500,0,0,0,0,2012,1,1991,4,11020,360,30.61111,27.04772,27.04772,27.04772,480314.9,4988936,11.99655,0.3298252,0.0109942,36.37244,1131918,531972.1,372380.5,,,,,,,,,,,,,1,402,478480,4980091,816,492625,4977029,9032.826,17126.12,9.032826,17.12612,=(BF72*D72)/N72
Hollywood Township,Carver,Hollywood Township,1102,12,5.623656,430,4.604709,52833,0.76,362,332,275,245,550,245,31,0.0639175,1.122449,0.3772291,0.5758829,0.3028034,0.6971966,0.0046,=X73*1000,89823618,63895896,12500,1.41,0.93,0.9,0,9421.25,148946.5,0,158368,93,2,0,0,15,215,0,0,45,0,0,0,9421,126832,0,0,22115,0,0,0,75649,110,16570,523,31.6826,29.03387,29.03387,29.03387,424950.6,4976162,367.5419,93.33498,1.048708,3.93788,10239.48,4859.57,3995.44,20596380,87650876,5936539,26185013,420000,2474300,18690,79538,9953,43899,4200,24743,3,402,478480,4980091,816,492625,4977029,53673.41,67679.94,53.67341,67.67994,=(BF73*D73)/N73
Hopkins City,Hennepin,Hopkins City,17145,1619,835,11724,1107.305,39203,0.81,701,524,595,418,1190,418,178,0.2141998,1.423445,0.4767628,0.1626612,0.1850781,0.8149219,0.003414,=X74*1000,23344824,17667595,11120,1.32,0.37,0.49,3.41,6221.92,90561.47,3298,96783,11,9,14,0,11,564,0,6,0,0,3298,0,2924,89602,0,960,0,0,349204,55,347017,33,184760,9185,20.11541,26.85645,26.85645,26.85645,467985.8,4974810,217.0538,10.58787,0.040258,20.50024,1360779,729003.1,930520.6,15050000000,32280000000,4934000000,9959000000,9861000000,17600000000,1065448,2285411,627508,1266552,880122,1574929,3,402,478480,4980091,816,492625,4977029,11748.34,24739.01,11.74834,24.73901,=(BF74*D74)/N74
Hugo City,Anoka/Ramsey/Washington,Hugo City,6363,68,36.52688,1884,20.20921,63450,0.9,473,395,379,301,758,301,79,0.1323283,1.259136,0.4225195,0.4635433,0.1876206,0.8123794,0.004197,=X75*1000,85959072,63539846,12350,1.35,0.3,0.31,0,9861.57,165821.4,0,175683,93,2,0,20,0,359,0,0,0,0,0,9862,0,165821,0,0,0,0,148331,98,154028,39,97580,3397,28.72535,26.40982,26.40982,26.40982,503239.8,5001514,420.4667,93.22482,0.6519219,4.510244,52912.43,28248.24,15666.67,1318000000,5318000000,420400000,1877000000,172400000,1100000000,207161,835744,119768,534837,89944,571931,3,402,478480,4980091,816,492625,4977029,32741.29,26686.87,32.74128,26.68686,=(BF75*D75)/N75
Independence City,Hennepin,Independence City,3236,36,18.74157,181,2.023677,79126,0.87,439,391,326,278,652,278,49,0.0889292,1.172662,0.3937198,0.5290962,0.3114394,0.6885606,0.004233,=X76*1000,86197321,62827642,12350,1.37,0.54,0.56,0,8158.4,164327,0,172485,89,2,0,21,0,296,8,0,1,0,0,8158,0,155809,8369,0,148,0,165016,79,165093,82,48560,1668,29.11271,27.81095,27.81095,27.81095,444245,4985624,490.3854,89.44102,0.5230469,5.48278,30241.57,15588.05,1691.51,828800000,4683000000,275600000,1733000000,210700000,1460000000,155667,879682,95211,598588,107449,742207,3,402,478480,4980091,816,492625,4977029,34679.16,49137.46,34.67916,49.13746,=(BF76*D76)/N76
Inver Grove Heights City,Dakota,Inver Grove Heights City,29751,382,210.1667,7638,97.98996,59090,0.9,1826,1475,1584,1233,3168,1233,352,0.1430313,1.284672,0.4289196,0.2180381,0.2248947,0.7751053,0.001043,=X77*1000,73256345,52363107,12400,1.4,0.65,0.83,0.81,30731.59,314640.8,2811,345372,78,4,11,28,42,1437,0,35,31,0,2811,12674,15247,300846,0,8599,5196,0,950893,161,954741,52,363560,16393,22.17776,26.775,26.775,26.775,495284.7,4963463,769.4341,77.94676,0.1568345,9.871278,284387.5,156699.4,73011.05,24860000000,57530000000,7916000000,17910000000,5018000000,11300000000,835473,1933485,471450,1066664,614350,1379157,3,402,478480,4980091,816,492625,4977029,23640.83,13824.27,23.64083,13.82427,=(BF77*D77)/N77
Jackson Township,Scott,Jackson Township,1361,71,38.89474,85,4.442408,50263,0.87,138,127,100,89,200,89,12,0.0693642,1.123595,0.3831418,0.4031216,0.4524038,0.5475962,0.012768,=X78*1000,36948869,26431737,11398,1.4,0.68,0.94,15.83,8402.99,31909.17,6381,40312,19,2,4,7,0,88,0,1,0,0,6381,2022,0,31753,0,156,0,0,0,0,90957,108,16215,739,21.94181,29.39948,29.39948,29.39948,456144.3,4957590,117.0792,19.13377,0.3356802,6.118981,63999.07,34750.41,3997.003,217300000,639200000,68314955,223200000,15542886,62200000,330686,972848,206122,673371,146631,586546,3,402,478480,4980091,816,492625,4977029,31704.9,41336.84,31.7049,41.33685,=(BF78*D78)/N78
Jordan City,Scott,Jordan City,3833,570,266.2857,1308,194.6226,47468,0.87,345,279,283,217,566,217,67,0.1561772,1.304147,0.4387597,0.1685515,0.3065779,0.6934221,0.006038,=X79*1000,25941696,17236452,12450,1.51,0.15,0.22,0,1679.12,46020.96,0,47700,7,7,0,6,0,277,0,0,0,0,0,1679,0,46021,0,0,0,0,50357,20,52301,22,47175,1864,25.30848,26.93784,26.93784,26.93784,449706.6,4946297,121.5584,6.720699,0.051303,18.08717,371652,180735.5,126825.1,529900000,1737000000,147600000,574900000,74879564,286000000,151092,495202,82842,322684,56684,216240,3,402,478480,4980091,816,492625,4977029,44384.02,52786.77,44.38402,52.78677,=(BF79*D79)/N79
Lake Elmo City,Washington,Lake Elmo City,6863,109,52.55556,1634,26.01738,76876,0.88,511,442,403,334,806,334,70,0.1055807,1.206587,0.4046185,0.3923258,0.2078153,0.7921847,0.003623,=X80*1000,84137385,58820070,12500,1.43,0.46,0.74,3.88,22567.18,135540.1,6135,158107,63,3,5,0,25,372,0,0,1,0,6135,0,16432,134998,0,0,542,0,376460,82,377364,88,76605,3311,23.13651,26.62471,26.62471,26.62471,507647,4982351,359.8148,62.80417,0.4186945,5.729154,77011.59,37153.63,18335.56,3851000000,10560000000,1040000000,2987000000,583100000,2050000000,527853,1447251,278676,800765,281267,991016,3,402,478480,4980091,816,492625,4977029,29254.36,15936.68,29.25436,15.93668,=(BF80*D80)/N80
Lake St Croix Beach City,Washington,Lake St. Croix Beach City,1140,447,210,50,19.60243,60652,0.89,189,134,172,117,344,117,56,0.2445415,1.470086,0.4985507,0.1228171,0.1468683,0.8531317,0.012673,=X81*1000,10991764,8340334,12500,1.32,0.3,0.47,0,1754.08,19370.45,0,21125,3,8,0,0,7,164,0,0,1,0,0,0,1754,19237,0,0,133,0,11494,13,10755,15,16885,630,26.80159,26.53587,26.53587,26.53587,518483.9,4974602,48.03783,2.550704,0.0354264,18.83317,368579.5,203688.7,16165.77,352300000,1250000000,110600000,399100000,5875140,31300000,237384,842074,130492,470957,97919,521763,3,402,478480,4980091,816,492625,4977029,40378.8,25972.6,40.3788,25.9726,=(BF81*D81)/N81
Lakeland City,Washington,Lakeland City,1917,252,145.5,357,46.93465,76530,0.9,258,211,204,157,408,157,48,0.1553398,1.299363,0.4387097,0.1730816,0.3494502,0.6505498,0.008329,=X82*1000,22293211,17169294,12500,1.3,1.26,1.24,5.22,6753.61,28555.04,1842,35309,8,5,7,0,22,153,0,16,6,0,1842,0,4911,26377,0,1264,913,0,102820,20,103557,87,28255,1164,24.27406,28.70036,28.70036,28.70036,518150.4,4977431,75.67239,7.606321,0.1226826,9.948619,250477.8,152089.8,46646.11,,,,,,,,,,,,,1,402,478480,4980091,816,492625,4977029,39759.52,25528.6,39.75951,25.5286,=(BF82*D82)/N82
Lakeland Shores City,Washington,Lakeland Shores City,355,198,87.5,17,9.476867,80907,0.94,46,43,34,31,68,31,4,0.0701754,1.096774,0.3908046,0.1993022,0.4960828,0.5039172,0.036559,=X83*1000,11439220,6434893,12500,1.78,0.67,0.66,0,1156.82,5619.46,0,6776,2,4,0,0,6,28,0,0,0,0,0,0,1157,5619,0,0,0,0,1641,3,1564,7,4720,175,26.97143,26.74999,26.74999,26.74999,518823.6,4977193,18.26182,1.793842,0.1379878,10.18028,91152.57,44934.36,4365.053,722700000,2357000000,237000000,825500000,80542662,316000000,318069,1037411,170696,594506,204423,801315,3,402,478480,4980091,816,492625,4977029,40447.55,26199.07,40.44755,26.19907,=(BF83*D83)/N83
Laketown Township,Carver,Laketown Township,2331,29,14.78481,352,4.453694,75000,0.81,309,294,234,219,468,219,16,0.0369515,1.068493,0.359447,0.4930696,0.4750276,0.5249724,0.004901,=X84*1000,73356988,48489291,10324,1.51,0.91,0.82,0,8364.52,107013.8,0,115378,79,1,0,0,15,187,0,0,32,0,0,0,8365,96052,0,0,10962,0,0,0,116763,81,27615,1168,23.64298,26.99771,26.99771,26.99771,443585.7,4965840,363.2877,79.03551,0.7185046,4.596512,19106.02,9573.502,2885.165,397400000,1137000000,132000000,415100000,7446420,25200000,147907,423118,93241,293290,41369,139924,3,402,478480,4980091,816,492625,4977029,37692.42,50299.69,37.69242,50.29969,=(BF84*D84)/N84
Lakeville City,Dakota,Lakeville City,43128,441,225.602,10583,108.1992,72404,0.88,2390,1910,2236,1756,4472,1756,481,0.1371543,1.273349,0.4249335,0.1959502,0.2027241,0.7972759,0.000726,=X85*1000,93116561,73016192,12500,1.28,0.21,0.29,2.24,9796.99,428347.7,9797,438145,98,4,14,0,0,2180,0,15,27,0,9797,0,0,421366,0,4124,2857,0,971604,204,912938,34,543720,22109,24.5927,25.65289,25.65289,25.65289,480008.4,4947197,866.0639,97.81031,0.170997,8.854527,362927.2,186049.8,89057.19,21200000000,61650000000,7052000000,19700000000,2057000000,9590000000,490572,1426586,305982,854989,187579,874217,3,402,478480,4980091,816,492625,4977029,32929.99,32390.67,32.92999,32.39067,=(BF85*D85)/N85
Landfall City,Washington,Landfall City,700,3276,,77,360.337,31136,0.78,62,48,53,39,106,39,15,0.2054795,1.358974,0.4774775,0.101103,0.3156416,0.6843585,0.035762,=X86*1000,3773293,3014013,9570,1.25,0.14,0.6,14.73,789.17,4569.28,789,5358,0,25,1,0,0,52,0,0,0,0,789,0,0,4569,0,0,0,0,1666,3,1262,3,7855,318,24.70126,24.97662,24.97662,24.97662,501804.9,4977450,11.16,0.2136889,0.0089037,52.22548,2652287,1204896,291751.6,,,,,,,,,,,,,1,402,478480,4980091,816,492625,4977029,23474.03,9189.563,23.47403,9.189564,=(BF86*D86)/N86
Lauderdale City,Ramsey,Lauderdale City,2364,2169,1465,357,327.5804,39063,0.77,104,70,94,60,188,60,35,0.3043478,1.566667,0.5402299,0.1449923,0.1076273,0.8923727,0.026554,=X87*1000,7996691,6371703,11373,1.26,0.55,0.38,0,0,13629.27,0,13629,1,13,0,0,0,82,0,12,0,0,0,0,0,12617,0,1013,0,0,54740,7,54439,37,27120,1465,18.51195,29.10269,29.10269,29.10269,484029.8,4982326,35.40914,1.089809,0.0198147,32.49115,2372692,1470386,358312.6,,,,,,,,,,,,,1,402,478480,4980091,816,492625,4977029,5982.701,10096.1,5.982701,10.0961,=(BF87*D87)/N87
Lexington City,Anoka,Lexington City,2214,1243,598,637,357.6077,41618,0.86,143,111,106,74,212,74,33,0.2307692,1.432432,0.4907407,0.214582,0.0732079,0.9267921,0.019622,=X88*1000,13334176,9836882,12350,1.36,0.36,0.29,0,0,22745.69,0,22746,2,13,0,0,0,98,0,0,7,1,0,0,0,21708,0,0,921,116,22117,10,22106,16,26195,1196,21.90217,27.08657,27.08657,27.08657,486530.6,4998312,47.29984,1.781282,0.029688,26.55383,1009539,545351.8,290459.1,4441000000,9725000000,1682000000,3184000000,213300000,449000000,910488,1993716,600367,1136376,625372,1316847,3,402,478480,4980091,816,492625,4977029,19919.81,22137.9,19.91981,22.1379,=(BF88*D88)/N88
Lino Lakes City,Anoka,Lino Lakes City,16791,196,91.53488,2641,30.75309,75708,0.91,990,838,813,661,1626,661,153,0.1161731,1.229955,0.4112291,0.3073068,0.3064667,0.6935333,0.001864,=X89*1000,108649521,57044083,10953,1.9,0.19,0.47,7.96,19887.92,229952.5,19888,249840,86,3,12,0,0,794,0,6,1,0,19888,0,0,228016,0,1754,183,0,723347,123,723803,69,209970,7872,26.67302,27.96743,27.96743,27.96743,493476.5,5001598,608.6306,85.87754,0.3448897,7.087191,85754.2,40203.5,13487.99,8883000000,30920000000,2606000000,8840000000,673200000,2860000000,444310,1546783,260965,885124,221901,941263,3,402,478480,4980091,816,492625,4977029,26219.21,24583.75,26.21921,24.58375,=(BF89*D89)/N89
Linwood Township,Anoka,Linwood Township,4668,50,25.75269,157,1.680935,58596,0.88,436,373,354,291,708,291,64,0.1109185,1.216495,0.4083045,0.4164339,0.3936195,0.6063805,0.004195,=X90*1000,116963019,65577936,12500,1.78,0,0,0,0,147417.6,0,147418,93,2,0,0,0,354,0,0,0,0,0,0,0,147418,0,0,0,0,0,0,73853,25,78815,2395,32.90814,26.60837,26.60837,26.60837,493633,5024006,376.9547,93.4004,0.7129802,4.0359,22626.87,11609.12,761.0152,136400000,898700000,47030697,294700000,541310,7390306,29213,192531,19048,119377,3515,47989,3,402,478480,4980091,816,492625,4977029,46455.33,46987.31,46.45533,46.98731,=(BF90*D90)/N90
Little Canada City,Ramsey,Little Canada City,9771,841,449.3333,5864,504.9909,46609,0.9,414,338,334,258,668,258,77,0.1506849,1.294574,0.4348958,0.2539124,0.1964807,0.8035193,0.005037,=X91*1000,32818467,21288958,11811,1.54,1.04,1.04,10.18,11255.48,73551.25,8633,84807,12,7,30,0,10,271,0,16,7,0,8633,0,2622,67936,0,4937,678,0,678082,42,678179,112,111325,5392,20.64633,28.69522,28.69522,28.69522,493201.1,4985666,177.7234,11.61209,0.0789938,15.30503,593072.5,327279.4,355928.5,13230000000,25610000000,4031000000,7892000000,5027000000,8920000000,1194190,2311494,650212,1273123,858844,1524702,3,402,478480,4980091,816,492625,4977029,15741.24,8655.694,15.74124,8.655694,=(BF91*D91)/N91
Long Lake City,Hennepin,Long Lake City,1842,743,492,2480,1000.922,55139,0.86,142,117,124,99,248,99,26,0.134715,1.252525,0.4261168,0.1758754,0.3330734,0.6669266,0.012781,=X92*1000,16766523,12669828,12500,1.32,0.75,0.79,0,3802.91,18005.64,0,21809,2,9,0,20,0,102,2,0,0,0,0,3803,0,17614,391,0,0,0,70053,12,70539,62,23235,984,23.6128,28.70483,28.70483,28.70483,455149.5,4981343,54.98821,2.477714,0.0419952,22.19312,711527,380099.1,957973.4,,,,,,,,,,,,,1,402,478480,4980091,816,492625,4977029,23364.1,37723.02,23.3641,37.72301,=(BF92*D92)/N92
Loretto City,Hennepin,Loretto City,570,861,312,663,1001.936,54375,0.89,51,41,43,33,86,33,11,0.1803279,1.30303,0.4623656,0.1612933,0.2747986,0.7252014,0.04072,=X93*1000,8612075,5208331,12500,1.65,0,0,0,0,6935.61,0,6936,1,10,0,0,0,43,0,0,0,0,0,0,0,6936,0,0,0,0,4938,3,4357,12,7895,312,25.30449,26.84491,26.84491,26.84491,449971.8,4989230,18.35496,0.6617187,0.0300781,27.73831,461843.1,252798.3,537196.4,,,,,,,,,,,,,1,402,478480,4980091,816,492625,4977029,29937.05,44363.77,29.93705,44.36377,=(BF93*D93)/N93
Louisville Township,Scott,Louisville Township,1359,36,16.31579,460,12.22544,79242,0.86,156,154,134,132,268,132,3,0.011583,1.015152,0.3435898,0.4070624,0.6034388,0.3965612,0.007749,=X94*1000,38895929,26726884,9951,1.46,0.23,0.44,0,4914.91,49631.45,0,54546,38,1,0,5,0,129,0,0,0,0,0,4915,0,49631,0,0,0,0,0,0,115509,137,13590,620,21.91936,28.64947,28.64947,28.64947,454166.2,4954185,207.9792,37.62647,0.5453112,5.52747,28473.13,12989.95,9637.702,280700000,952300000,92912699,331900000,51407352,248000000,226728,769210,143870,513954,97362,470181,3,402,478480,4980091,816,492625,4977029,35529,44732.02,35.529,44.73203,=(BF94*D94)/N94
Mahtomedi City,Washington,Mahtomedi City,7563,514,249,1261,85.6791,72215,0.88,577,469,519,411,1038,411,109,0.1334149,1.262774,0.4229829,0.1553131,0.3001073,0.6998926,0.00308,=X95*1000,36479915,24029194,11278,1.52,0.16,0.32,1.98,1600.03,79007.46,1600,80607,15,5,3,0,0,506,0,2,4,4,1600,0,0,77300,0,519,615,573,72057,43,74071,16,89905,3735,24.07095,25.74368,25.74368,25.74368,502673.3,4989809,180.6163,14.71771,0.0841012,12.27204,300575.5,148439.7,50115.79,4588000000,12050000000,1273000000,3457000000,543700000,1540000000,630157,1655711,336748,914488,374185,1061060,3,402,478480,4980091,816,492625,4977029,26071.97,16256.84,26.07197,16.25684,=(BF95*D95)/N95
Maple Grove City,Hennepin,Maple Grove City,50365,555,315.0769,18205,200.6463,76111,0.89,2625,2155,2314,1844,4628,1844,471,0.1278849,1.254881,0.4187477,0.1972228,0.2082605,0.7917395,0.000681,=X96*1000,87381014,62609603,12500,1.4,0.26,0.43,4.67,21690.28,434683.2,21300,456373,91,5,46,1,0,2234,0,30,3,0,21300,391,0,425176,0,8759,749,0,1518711,248,1535613,49,732165,28672,25.53589,26.06574,26.06574,26.06574,463615.5,4995154,956.2823,90.7318,0.1458711,10.53966,393862.7,224219.8,142366.1,34820000000,89300000000,12140000000,29590000000,10420000000,25500000000,687409,1763141,406536,991036,533547,1305327,3,402,478480,4980091,816,492625,4977029,21162.07,34206,21.16207,34.206,=(BF96*D96)/N96
Maple Plain City,Hennepin,Maple Plain City,2088,752,359.6667,1784,642.7023,50938,0.87,123,97,108,82,216,82,27,0.1698113,1.317073,0.45,0.1845439,0.2615056,0.7384944,0.01626,=X97*1000,15444082,11111419,12500,1.39,0.78,0.81,0,2267.53,17663.21,0,19931,3,7,0,11,0,91,0,0,6,0,0,2268,0,16582,0,0,1081,0,34881,10,34778,27,25045,1079,23.21131,28.56126,28.56126,28.56126,447851.4,4984137,46.68143,2.77578,0.0693945,16.81741,646104.6,333882.6,552035.7,,,,,,,,,,,,,1,402,478480,4980091,816,492625,4977029,30894.67,45334.3,30.89467,45.3343,=(BF97*D97)/N97
Maplewood City,Ramsey,Maplewood City,34947,747,374.4043,18703,399.7274,51596,0.87,2167,1600,1864,1297,3728,1297,568,0.2193897,1.437163,0.4797941,0.1897853,0.1267097,0.8732903,0.001109,=X98*1000,98844936,73504055,12500,1.34,0.59,0.74,1.64,17038.57,336721.2,5817,353760,47,8,14,24,18,1708,0,39,61,0,5817,5483,5738,315222,0,8482,13017,0,1095253,170,958280,44,397010,17597,22.56123,27.87918,27.87918,27.87918,498058.4,4981209,676.5462,46.78939,0.0774659,14.45939,653016.2,328815.8,349482.4,32460000000,70560000000,9510000000,20740000000,19270000000,37800000000,941688,2046834,525547,1146285,694061,1362443,3,402,478480,4980091,816,492625,4977029,19610.24,6854.91,19.61024,6.85491,=(BF98*D98)/N98
